year,month,ff4_tc,ed2_tc,ed3_tc,ed4_tc,sp500_tc,pmneg_ed2_sp500_tc,pmpos_ed2_sp500_tc,pmneg_ff4_sp500_tc,pmpos_ff4_sp500_tc
1985,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1985,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1985,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1985,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1985,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1985,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1985,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1985,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1985,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1985,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1986,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1986,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1986,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1986,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1986,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1986,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1986,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1986,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1986,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1986,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1986,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1986,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1987,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1987,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1987,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1987,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1987,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1987,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1987,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1987,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1987,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1987,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1987,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1987,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1988,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1988,2,NaN,-0.0298275862068966,-0.0122413793103448,0.0020689655172395,0.0837049900958154,-0.0298275862068966,-0,NaN,NaN
1988,3,NaN,0.000645161290322581,0,0,-0.0147870967741935,0.000645161290322581,0,NaN,NaN
1988,4,NaN,0.0406666666666667,0.0356666666666667,0.0183333333333422,-0.395876698535273,0.0406666666666667,0,NaN,NaN
1988,5,NaN,0.0433870967741935,0.0541935483870968,0.0329032258064492,0.0315992644634502,0,0.0433870967741935,NaN,NaN
1988,6,NaN,0.0085,0.00666666666666667,0.00300000000000024,-0.0455393996493272,0.0085,0,NaN,NaN
1988,7,NaN,0.0143548387096774,0.0303225806451613,0.0280645161290264,-0.308444245770041,0.0143548387096774,0,NaN,NaN
1988,8,NaN,0.120806451612903,0.0998387096774194,0.125806451612907,-0.494193521048585,0.120806451612903,0,NaN,NaN
1988,9,NaN,-0.00666666666666667,-0.00666666666666667,-0.00583333333333333,0.039753532837435,-0.00666666666666667,-0,NaN,NaN
1988,10,NaN,0,0,0,0,0,0,NaN,NaN
1988,11,NaN,0.068,0.066,0.048999999999989,0.0252273517579275,0,0.068,NaN,NaN
1988,12,NaN,0.0356451612903226,0.0164516129032258,0.0191935483870949,-0.109508215831319,0.0356451612903226,0,NaN,NaN
1989,1,NaN,0.0193548387096774,0.00709677419354839,-0.00129032258064582,-0.168575852605346,0.0193548387096774,0,NaN,NaN
1989,2,NaN,0.00910714285714286,0.0283928571428571,0.0237500000000038,-0.0560107576790686,0.00910714285714286,0,NaN,NaN
1989,3,NaN,-0.000967741935483871,-0.00290322580645161,-0.00241935483870968,0.00735894371935674,-0.000967741935483871,-0,NaN,NaN
1989,4,NaN,0,0,0,0,0,0,NaN,NaN
1989,5,NaN,-0.00725806451612903,-0.00725806451612903,-0.00967741935483677,0.00380925776809876,-0.00725806451612903,-0,NaN,NaN
1989,6,NaN,-0.0416666666666667,-0.05,-0.0416666666666643,0.198756265278618,-0.0416666666666667,-0,NaN,NaN
1989,7,NaN,-0.0414516129032258,-0.04,-0.0383870967741985,0.396087176144252,-0.0414516129032258,-0,NaN,NaN
1989,8,NaN,-0.00870967741935484,-0.00290322580645161,-0.00870967741935516,-0.00845558708890692,-0,-0.00870967741935484,NaN,NaN
1989,9,NaN,0,0,0,0,0,0,NaN,NaN
1989,10,NaN,0.00645161290322581,0.0219354838709677,0.0080645161290254,0.527335564962703,0,0.00645161290322581,NaN,NaN
1989,11,NaN,-0.000833333333333337,-0.0195,-0.0406666666666752,0.116659567666107,-0.000833333333333337,-0,NaN,NaN
1989,12,NaN,-0.0116129032258065,-0.00774193548387097,-0.00774193548387097,0.066803227772753,-0.0116129032258065,-0,NaN,NaN
1990,1,NaN,0,0,0,0,0,0,NaN,NaN
1990,2,NaN,0.01125,0.01125,-0.00375,-0.23325,0.01125,0,NaN,NaN
1990,3,NaN,-0.00258064516129032,-0.00258064516129032,-0.00387096774193563,-0.0205858064516129,-0,-0.00258064516129032,NaN,NaN
1990,4,NaN,0,0,0,0,0,0,NaN,NaN
1990,5,NaN,-0.0129032258064516,-0.0103225806451613,-0.00516129032258065,0.112996129032258,-0.0129032258064516,-0,NaN,NaN
1990,6,NaN,0,0,0,0,0,0,NaN,NaN
1990,7,NaN,-0.0170967741935484,-0.000483870967741934,-0.0153225806451613,-0.0455308064516129,-0,-0.0170967741935484,NaN,NaN
1990,8,NaN,-0.0032258064516129,0.00161290322580645,0.00161290322580645,0.130883870967742,-0.0032258064516129,-0,NaN,NaN
1990,9,NaN,0,0,0,0,0,0,NaN,NaN
1990,10,NaN,-0.0130645161290323,-0.00935483870967742,-0.000967741935483871,-0.101265548387097,-0,-0.0130645161290323,NaN,NaN
1990,11,NaN,0.00783333333333333,0.005,0.000333333333333333,-0.392439,0.00783333333333333,0,NaN,NaN
1990,12,NaN,-0.055,-0.0501612903225806,-0.0498387096774194,0.645352935483871,-0.055,-0,NaN,NaN
1991,1,-0.1674193,-0.0851612903225806,-0.0774193548387097,-0.0619354838709677,0.347132903225806,-0.0851612903225806,-0,-0.1674193,-0
1991,2,-0.2304378,-0.0889285714285714,-0.0917857142857143,-0.0828571428571429,-0.324062642857143,-0,-0.0889285714285714,-0,-0.2304378
1991,3,-0.0363364,-0.0698387096774194,-0.042741935483871,-0.043241935483871,0.237719032258065,-0.0698387096774194,-0,-0.0363364,-0
1991,4,-0.0321398,-0.0065,-0.005,-0.00383333333333333,0.0170263333333333,-0.0065,-0,-0.0321398,-0
1991,5,-0.1946344,0.00548387096774194,0.00274193548387097,0.0109677419354839,-0.0588967741935484,0.00548387096774194,0,-0,-0.1946344
1991,6,-0.0090322,0,0,0,0,0,0,-0,-0
1991,7,0.0087097,0.00870967741935484,0.00435483870967742,0.00870967741935484,-0.109559032258065,0.00870967741935484,0,0.0087097,0
1991,8,-0.0803226,-0.097741935483871,-0.0935483870967742,-0.0641935483870968,0.515590709677419,-0.097741935483871,-0,-0.0803226,-0
1991,9,0.0016129,0.009,0.018,0.015,0.0116802,0,0.009,0,0.0016129
1991,10,-0.0025806,-0.00129032258064516,0.00935483870967742,0.00967741935483871,-0.0300391612903226,-0,-0.00129032258064516,-0,-0.0025806
1991,11,-0.1374193,-0.075,-0.0666666666666667,-0.0625,-0.1871,-0,-0.075,-0,-0.1374193
1991,12,-0.1206452,-0.101612903225806,-0.0832258064516129,-0.0832258064516129,0.367329806451613,-0.101612903225806,-0,-0.1206452,-0
1992,1,-0.1493548,0,0,0,0,0,0,-0,-0
1992,2,0,-0.00827586206896552,0.00827586206896552,-0.00827586206896552,0.0399393103448276,-0.00827586206896552,-0,0,0
1992,3,0,0,0,0,0,0,0,0,0
1992,4,-0.1493334,-0.156,-0.153666666666667,-0.174333333333333,0.645973333333333,-0.156,-0,-0.1493334,-0
1992,5,-0.0467997,0.0116129032258065,0.00774193548387097,0.00774193548387097,-0.0255472258064516,0.0116129032258065,0,-0,-0.0467997
1992,6,0.0061229,0,0,0,0,0,0,0,0
1992,7,-0.2903225,0.0193548387096774,0.0435483870967742,0.067741935483871,-0.152293548387097,0.0193548387096774,0,-0,-0.2903225
1992,8,-0.0054839,0.00419354838709677,-0.00419354838709677,0,0.0324375161290323,0,0.00419354838709677,-0.0054839,-0
1992,9,0.0148064,-0.0135,-0.0045,-0.0315,-0.00538875,-0,-0.0135,0.0148064,0
1992,10,0.0090646,0,0.00806451612903226,0.00806451612903226,-0.118766129032258,0,0,0.0090646,0
1992,11,0.0019355,-0.0065,0.00216666666666667,0.00433333333333333,0.136279,-0.0065,-0,0,0.0019355
1992,12,-0.0029032,-0.00290322580645161,-0.00145161290322581,-0.00290322580645161,-0.0361538709677419,-0,-0.00290322580645161,-0,-0.0029032
1993,1,-0.0070968,0,0,0,0,0,0,-0,-0
1993,2,-0.0178571,-0.00892857142857143,0.00892857142857143,0.00446428571428571,-0.0646839285714286,-0,-0.00892857142857143,-0,-0.0178571
1993,3,-0.0021429,0,0,0,-0.0457651612903226,0,0,-0,-0.0021429
1993,4,0,0,0,0,0,0,0,0,0
1993,5,-0.0083871,-0.00838709677419355,-0.00838709677419355,-0.00838709677419355,0.0644758064516129,-0.00838709677419355,-0,-0.0083871,-0
1993,6,-0.0116129,0,0,0,0,0,0,-0,-0
1993,7,0,-0.0193548387096774,-0.00774193548387097,-0.00774193548387097,0.160590967741935,-0.0193548387096774,-0,0,0
1993,8,0.0045161,0.00451612903225806,0,0.00451612903225806,-0.0469767741935484,0.00451612903225806,0,0.0045161,0
1993,9,0.0084839,0.003,-0.003,-0.00600000000000014,-0.0049386,0.003,0,0.0084839,0
1993,10,0.007,0,0,0,0,0,0,0,0
1993,11,0,-0.00466666666666667,0.00466666666666667,-0.00466666666666667,-0.0550713333333333,-0,-0.00466666666666667,0,0
1993,12,-0.0032258,0,-0.0032258064516129,-0.00419354838709677,-0.0120890322580645,0,0,-0,-0.0032258
1994,1,-0.0067742,0,0,0,0,0,0,-0,-0
1994,2,0,0.133928571428571,0.133928571428571,0.133928571428571,-0.7605625,0.133928571428571,0,0,0
1994,3,0,-0.017741935483871,-0.0145161290322581,-0.0167741935483871,0.133638709677419,-0.017741935483871,-0,0,0
1994,4,0.052,0.039,0.039,0.0411666666666667,-0.327890333333333,0.039,0,0.052,0
1994,5,0.0921935,-0.0290322580645161,-0.0266129032258065,-0.0314516129032258,0.262862903225806,-0.0290322580645161,-0,0,0.0921935
1994,6,0.0258064,0,0,0,0,0,0,0,0
1994,7,0,0.00419354838709677,0,0.00838709677419355,-0.0750058064516129,0.00419354838709677,0,0,0
1994,8,0,0.0103225806451613,0.00516129032258065,-0.00516129032258065,0.117042580645161,0,0.0103225806451613,0,0
1994,9,-0.0039999,-0.00266666666666667,0,0,-0.035268,-0,-0.00266666666666667,-0,-0.0039999
1994,10,-0.026,0,0,0,0,0,0,-0,-0
1994,11,0.0426667,0.016,0.016,0.016,-0.657173333333333,0.016,0,0.0426667,0
1994,12,0.0179784,0,0.00774193548387097,0.00967741935483871,-0.00209825806451613,0,0,0.0179784,0
1995,1,-0.0306451,0,0,0,0,0,0,-0,-0
1995,2,0,0.06,0.06,0.04,-0.17962,0.06,0,0,0
1995,3,0.0025806,0.00387096774193548,0.0032258064516129,0.0032258064516129,-0.010190064516129,0.00387096774193548,0,0.0025806,0
1995,4,0.0174193,0,0,0,0,0,0,0,0
1995,5,0,-0.00290322580645161,0,-0.00145161290322581,-0.00689922580645161,-0,-0.00290322580645161,0,0
1995,6,0,0,0,0,0,0,0,0,0
1995,7,-0.1258065,-0.226451612903226,-0.209677419354839,-0.218064516129032,0.32682,-0.226451612903226,-0,-0.1258065,-0
1995,8,-0.0241935,0.017741935483871,0.0193548387096774,0.017741935483871,-0.0706290322580645,0.017741935483871,0,-0,-0.0241935
1995,9,0.005,0.0108333333333333,0.0125,0.00833333333333345,-0.0447466666666667,0.0108333333333333,0,0.005,0
1995,10,0.025,0,0,0,0,0,0,0,0
1995,11,0,0.0133333333333333,0.0106666666666667,0.0186666666666667,-0.056416,0.0133333333333333,0,0,0
1995,12,-0.0209677,-0.00838709677419355,-0.0104838709677419,-0.0197096774193548,0.0735716129032258,-0.00838709677419355,-0,-0.0209677,-0
1996,1,-0.0296774,-0.00112903225806452,-0.00145161290322581,-0.00145161290322581,0.000381774193548387,-0.00112903225806452,-0,-0.0296774,-0
1996,2,-0.0193548,0,0,0,0,0,0,-0,-0
1996,3,0.0019336,0.00387096774193548,0.0067741935483871,0.00580645161290323,0.00811083870967742,0,0.00387096774193548,0,0.0019336
1996,4,0.0080564,0,0,0,0,0,0,0,0
1996,5,0,0.00887096774193548,0.00532258064516129,0.00709677419354839,-0.0813538709677419,0.00887096774193548,0,0,0
1996,6,0,0,0,0,0,0,0,0,0
1996,7,-0.0280645,-0.0233870967741935,-0.0187096774193548,-0.0187096774193548,0.0863835161290323,-0.0233870967741935,-0,-0.0280645,-0
1996,8,-0.0019355,0.00387096774193548,0.00387096774193548,0,-0.034789935483871,0.00387096774193548,0,-0,-0.0019355
1996,9,-0.0303333,-0.0198333333333333,-0.0175,-0.0175,-0.0336816666666667,-0,-0.0198333333333333,-0,-0.0303333
1996,10,-0.0996667,0,0,0,0,0,0,-0,-0
1996,11,-0.006,-0.012,-0.009,-0.018,0.202416,-0.012,-0,-0.006,-0
1996,12,-0.0088387,0.00483870967741936,0.00483870967741936,0.00483870967741936,-0.0941612903225807,0.00483870967741936,0,-0,-0.0088387
1997,1,-0.0051613,0,0,0,0,0,0,-0,-0
1997,2,0,0.00428571428571429,0.0214285714285714,0.0171428571428571,-0.388902857142857,0.00428571428571429,0,0,0
1997,3,0.0090322,0.0141129032258065,0.0163709677419355,0.0175,-0.147483225806452,0.0141129032258065,0,0.0090322,0
1997,4,0.0309677,0,0,0,0,0,0,0,0
1997,5,-0.0348387,-0.0261290322580645,-0.0203225806451613,-0.0183870967741935,0.190645161290323,-0.0261290322580645,-0,-0.0348387,-0
1997,6,-0.0551615,0,0,0,0,0,0,-0,-0
1997,7,-0.0193548,0.00241935483870968,0,0,0.184867741935484,0,0.00241935483870968,-0.0193548,-0
1997,8,0.0035484,0.00209677419354839,0.00314516129032258,0.00419354838709677,-0.228984516129032,0.00209677419354839,0,0.0035484,0
1997,9,0.0058064,-0.000333333333333333,0,0,-0.00649133333333333,-0,-0.000333333333333333,0.0058064,0
1997,10,0,0,0,0,0,0,0,0,0
1997,11,0,-0.0158333333333333,-0.019,-0.0205833333333333,-0.388284,-0,-0.0158333333333333,0,0
1997,12,-0.0051613,-0.00387096774193548,-0.00516129032258065,-0.00258064516129032,-0.110477419354839,-0,-0.00387096774193548,-0,-0.0051613
1998,1,-0.0048387,0,0,0,0,0,0,-0,-0
1998,2,0,0.0178571428571429,0.015625,0.0223214285714286,-0.2914375,0.0178571428571429,0,0,0
1998,3,0,-0.000241935483870968,0.000241935483870968,0.000161290322580645,0.000288832258064516,-0.000241935483870968,-0,0,0
1998,4,0,0,0,0,0,0,0,0,0
1998,5,-0.0041935,-0.00733870967741936,-0.00419354838709677,-0.00419354838709677,-0.0582274193548387,-0,-0.00733870967741936,-0,-0.0041935
1998,6,-0.0058064,0,0,0,0,0,0,-0,-0
1998,7,0.00999,0.005,0.0025,0.0025,0.13886,0,0.005,0,0.00999
1998,8,0.0045161,0,0,0,0.0779935483870968,0,0,0,0.0045161
1998,9,0.0101504,0.000166666666666667,0.000833333333333333,0.000666666666666667,-0.0584453333333333,0.000166666666666667,0,0.0101504,0
1998,10,-0.0717633,-0.156290322580645,-0.157661290322581,-0.150806451612899,1.19016451612903,-0.156290322580645,-0,-0.0717633,-0
1998,11,-0.1129031,-0.0175,-0.00233333333333333,-0.00233333333333333,0.382055333333333,-0.0175,-0,-0.1129031,-0
1998,12,0,-0.00161290322580645,-0.000806451612903226,-0.000806451612903226,-0.0397741935483871,-0,-0.00161290322580645,0,0
1999,1,0,0,0,0,0,0,0,0,0
1999,2,0,0,0.00928571428571429,0.00464285714285714,0.138403571428571,0,0,0,0
1999,3,-0.0012903,-0.00161290322580645,-0.00193548387096774,-0.00193548387096774,-0.010521935483871,-0,-0.00161290322580645,-0,-0.0012903
1999,4,-0.0187097,0,0,0,0,0,0,-0,-0
1999,5,0.0180645,0.0530645161290323,0.0688709677419355,0.0745161290322581,-0.591793548387097,0.0530645161290323,0,0.0180645,0
1999,6,0.0196021,-0.00333333333333333,-0.00341666666666667,-0.004,0.0557966666666667,-0.00333333333333333,-0,0,0.0196021
1999,7,-0.0676665,0,0,0,0,0,0,-0,-0
1999,8,0.003871,-0.00129032258064516,-0.000645161290322581,-0.00580645161290323,0.167641290322581,-0.00129032258064516,-0,0,0.003871
1999,9,0.0111289,0,0,0,0,0,0,0,0
1999,10,0.0348387,0.0675,0.0849193548387097,0.0870967741935484,-0.428646774193548,0.0675,0,0.0348387,0
1999,11,0.0351663,0.03875,0.03625,0.03125,-0.238325,0.03875,0,0.0351663,0
1999,12,0.0282309,0.0141935483870968,0.0141935483870968,0.0141935483870968,0.158222580645161,0,0.0141935483870968,0,0.0282309
2000,1,-0.0032258,0,0,0,0,0,0,-0,-0
2000,2,0.0048275,-0.00482758620689655,0.0096551724137931,0.0241379310344828,-0.323226206896552,-0,-0.00482758620689655,0.0048275,0
2000,3,-0.0033724,-0.0017741935483871,0,0,-0.0357109677419355,-0,-0.0017741935483871,-0,-0.0033724
2000,4,-0.0064452,0,0,0,0,0,0,-0,-0
2000,5,0.0361292,0.0270967741935484,0.0270967741935484,0.0206451612903226,-0.307143225806452,0.0270967741935484,0,0.0361292,0
2000,6,0.0323699,-0.00275,-0.00375,-0.003,0.023609,-0.00275,-0,0,0.0323699
2000,7,-0.013509,0,0,0,0,0,0,-0,-0
2000,8,0.0016129,0.0032258064516129,0.00725806451612903,0.00806451612903226,-0.0523258064516129,0.0032258064516129,0,0.0016129,0
2000,9,0.0033872,0,0,0,0,0,0,0,0
2000,10,0.023387,0.0350806451612903,0.0420967741935484,0.0631451612903226,-0.232308709677419,0.0350806451612903,0,0.023387,0
2000,11,0.0016129,0.00533333333333333,0.00266666666666667,0.00266666666666667,-0.349802666666667,0.00533333333333333,0,0.0016129,0
2000,12,-0.0020967,0.00838709677419355,0.00629032258064516,0.00838709677419355,-0.314495161290323,0.00838709677419355,0,-0,-0.0020967
2001,1,-0.1422579,-0.138145161290323,-0.117903225806452,-0.0857258064516129,4.02205709677419,-0.138145161290323,-0,-0.1422579,-0
2001,2,0.0193646,0,0,0,0,0,0,0,0
2001,3,-0.0290322,-0.0261290322580645,-0.0348387096774194,-0.0358064516129032,-0.248307096774194,-0,-0.0261290322580645,-0,-0.0290322
2001,4,-0.2063012,-0.118083333333333,-0.125666666666667,-0.0931666666666667,1.08238,-0.118083333333333,-0,-0.2063012,-0
2001,5,-0.2864408,-0.0740322580645161,-0.0726612903225806,-0.087741935483871,0.185947096774194,-0.0740322580645161,-0,-0.2864408,-0
2001,6,-0.0532258,0.009,0.00933333333333333,0.00933333333333333,-0.0464266666666667,0.009,0,-0,-0.0532258
2001,7,0.0650001,0,0,0,0,0,0,0,0
2001,8,-0.0070968,-0.0141935483870968,-0.017741935483871,-0.0141935483870968,-0.248482903225806,-0,-0.0141935483870968,-0,-0.0070968
2001,9,-0.0129032,-0.144666666666667,-0.00933333333333333,0,-2.63232666666667,-0,-0.144666666666667,-0,-0.0129032
2001,10,-0.0387096,-0.0580645161290323,-0.0580645161290323,-0.0629032258064516,-0.301732258064516,-0,-0.0580645161290323,-0,-0.0387096
2001,11,-0.1179571,-0.120833333333333,-0.133333333333333,-0.125,0.397408333333333,-0.120833333333333,-0,-0.1179571,-0
2001,12,-0.0436559,-0.0440322580645161,-0.0660483870967742,-0.0643548387096774,0.177375483870968,-0.0440322580645161,-0,-0.0436559,-0
2002,1,-0.0083871,0.00129032258064516,0.00161290322580645,0.00193548387096774,-0.00440935483870968,0.00129032258064516,0,-0,-0.0083871
2002,2,0.0187097,0,0,0,0,0,0,0,0
2002,3,-0.0188708,-0.0314516129032258,-0.0293548387096774,-0.0293548387096774,-0.167955806451613,-0,-0.0314516129032258,-0,-0.0188708
2002,4,-0.026129,0,0,0,0,0,0,-0,-0
2002,5,-0.016129,-0.0241935483870968,-0.0483870967741935,-0.0524193548387097,-0.305548387096774,-0,-0.0241935483870968,-0,-0.016129
2002,6,-0.0055377,0.00166666666666667,0.00166666666666667,0.00166666666666667,-0.0895433333333333,0.00166666666666667,0,-0,-0.0055377
2002,7,-0.0083334,0,0,0,0,0,0,-0,-0
2002,8,-0.0245161,-0.0459677419354839,-0.0980645161290323,-0.125645161290323,-0.456827419354839,-0,-0.0459677419354839,-0,-0.0245161
2002,9,-0.0166504,-0.0035,-0.00466666666666667,-0.00466666666666667,-0.229287333333333,-0,-0.0035,-0,-0.0166504
2002,10,-0.0038333,0,0,0,0,0,0,-0,-0
2002,11,-0.0708334,-0.0583333333333333,-0.0645833333333333,-0.06875,-0.830108333333333,-0,-0.0583333333333333,-0,-0.0708334
